,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,actual
0,1985-10-01,117.56099738085938,-817.850418215715,957.1152668786532,117.56099738085938,117.56099738085938,-45.503962605431994,-45.503962605431994,-45.503962605431994,1.6518667565733234,1.6518667565733234,1.6518667565733234,-47.15582936200531,-47.15582936200531,-47.15582936200531,0.0,0.0,0.0,72.05703477542738,112.13999938964844
1,1985-10-02,117.62884351514153,-843.3265712668343,925.6767293721559,117.62884351514153,117.62884351514153,-46.767740459372746,-46.767740459372746,-46.767740459372746,3.3637165343315836,3.3637165343315836,3.3637165343315836,-50.131456993704326,-50.131456993704326,-50.131456993704326,0.0,0.0,0.0,70.86110305576878,110.82499694824219
2,1985-10-03,117.69668964942367,-844.9487247512471,905.3365647383619,117.69668964942367,117.69668964942367,-50.27648382571879,-50.27648382571879,-50.27648382571879,2.437164316053807,2.437164316053807,2.437164316053807,-52.713648141772595,-52.713648141772595,-52.713648141772595,0.0,0.0,0.0,67.42020582370489,110.87000274658203
3,1985-10-04,117.76453578370585,-793.3020578942592,855.3521772629068,117.76453578370585,117.76453578370585,-59.8082385615238,-59.8082385615238,-59.8082385615238,-4.926578529319055,-4.926578529319055,-4.926578529319055,-54.88166003220474,-54.88166003220474,-54.88166003220474,0.0,0.0,0.0,57.95629722218205,110.07499694824219
4,1985-10-07,117.96807418655231,-779.3576653291409,967.8525064210282,117.96807418655231,117.96807418655231,-55.30381654903398,-55.30381654903398,-55.30381654903398,3.4718795045063966,3.4718795045063966,3.4718795045063966,-58.77569605354038,-58.77569605354038,-58.77569605354038,0.0,0.0,0.0,62.66425763751833,108.19999694824219
5,1985-10-08,118.03592032083446,-780.2432356971849,899.6913155856481,118.03592032083446,118.03592032083446,-57.539580557728875,-57.539580557728875,-57.539580557728875,1.6518667565786394,1.6518667565786394,1.6518667565786394,-59.19144731430751,-59.19144731430751,-59.19144731430751,0.0,0.0,0.0,60.49633976310559,107.16000366210938
6,1985-10-09,118.10376645511663,-839.6704481498521,958.5348495890709,118.10376645511663,118.10376645511663,-55.81128394416215,-55.81128394416215,-55.81128394416215,3.3637165343354054,3.3637165343354054,3.3637165343354054,-59.17500047849756,-59.17500047849756,-59.17500047849756,0.0,0.0,0.0,62.29248251095448,108.62999725341797
7,1985-10-10,118.17161258939879,-832.1014117439354,860.2544321390196,118.17161258939879,118.17161258939879,-56.303451702961894,-56.303451702961894,-56.303451702961894,2.437164316047269,2.437164316047269,2.437164316047269,-58.74061601900916,-58.74061601900916,-58.74061601900916,0.0,0.0,0.0,61.8681608864369,109.43499755859375
8,1985-10-11,118.23945872368094,-826.1651337311729,963.2166994476324,118.23945872368094,118.23945872368094,-62.83473288791375,-62.83473288791375,-62.83473288791375,-4.926578529317601,-4.926578529317601,-4.926578529317601,-57.90815435859616,-57.90815435859616,-57.90815435859616,0.0,0.0,0.0,55.40472583576719,111.05000305175781
9,1985-10-14,118.44299712652742,-770.2592977358042,939.6062504789817,118.44299712652742,118.44299712652742,-49.823675273861745,-49.823675273861745,-49.823675273861745,3.4718795045062327,3.4718795045062327,3.4718795045062327,-53.29555477836798,-53.29555477836798,-53.29555477836798,0.0,0.0,0.0,68.61932185266568,113.18499755859375
